,county,all pop,tindoor_07-02-2023,tindoor_08-02-2023,tindoor_09-02-2023,tindoor_10-02-2023,tindoor_11-02-2023,tindoor_12-02-2023,tindoor_13-02-2023,vulnerability_07-02-2023,vulnerability_08-02-2023,vulnerability_09-02-2023,vulnerability_10-02-2023,vulnerability_11-02-2023,vulnerability_12-02-2023,vulnerability_13-02-2023,toutdoor_07-02-2023,toutdoor_08-02-2023,toutdoor_09-02-2023,toutdoor_10-02-2023,toutdoor_11-02-2023,toutdoor_12-02-2023,toutdoor_13-02-2023,icaro_07-02-2023,icaro_08-02-2023,icaro_09-02-2023,icaro_10-02-2023,icaro_11-02-2023,icaro_12-02-2023,icaro_13-02-2023
227,pacos-de-ferreira,96097,16.2,16.7,17.4,17.1,15.8,15.2,15.5,0.2281,0.2281,0.2281,0.2281,0.2281,0.2281,0.2281,6.1,4.6,2.5,4.6,6.2,5.5,3.5,0.2281,0.2281,0.2281,0.2281,0.2281,0.2281,0.2281
228,paredes,147792,16.7,17.2,17.8,17.4,16.3,15.8,16.0,0.2165,0.2165,0.2165,0.2165,0.2165,0.2165,0.2165,7.8,5.9,3.3,5.1,7.9,5.9,3.2,0.2165,0.2165,0.2165,0.2165,0.2165,0.2165,0.2165
229,penafiel,122564,16.2,16.6,16.9,16.5,15.3,14.9,15.0,0.1927,0.1927,0.1927,0.1927,0.1927,0.1927,0.1927,6.8,4.6,2.0,5.1,5.5,4.5,2.4,0.1927,0.1927,0.1927,0.1927,0.1927,0.1927,0.1927
230,porto,391720,16.2,16.4,17.7,17.0,15.2,13.9,13.5,0.4364,0.4364,0.4364,0.4364,0.4364,0.4364,0.4364,8.0,6.8,5.4,6.2,8.7,8.0,5.4,0.4364,0.4364,0.4364,0.4364,0.4364,0.4364,0.4364
231,povoa-de-varzim,106907,17.2,17.7,18.0,17.4,16.4,16.0,16.0,0.114,0.114,0.114,0.114,0.114,0.114,0.114,5.7,8.8,5.5,7.0,7.7,7.1,4.6,0.114,0.114,0.114,0.114,0.114,0.114,0.114
232,santo-tirso,120846,16.6,17.0,17.2,16.5,15.2,14.8,14.8,0.2227,0.2227,0.2227,0.2227,0.2227,0.2227,0.2227,7.8,5.4,3.6,4.8,6.7,5.8,4.0,0.2227,0.2227,0.2227,0.2227,0.2227,0.2227,0.2227
233,valongo,159691,17.3,17.7,18.2,17.6,16.4,15.8,15.9,0.3445,0.3445,0.3445,0.3445,0.3445,0.3445,0.3445,8.7,7.0,4.1,6.0,8.6,7.4,4.9,0.3445,0.3445,0.3445,0.3445,0.3445,0.3445,0.3445
234,vila-do-conde,134438,17.1,17.5,17.9,17.1,16.1,15.9,16.0,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,4.6,4.0,4.2,6.0,6.7,6.5,4.7,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948,0.0948
235,vila-nova-de-gaia,511291,16.8,17.0,17.8,17.5,16.4,15.7,15.7,0.1519,0.1519,0.1519,0.1519,0.1519,0.1519,0.1519,8.5,6.9,4.3,5.0,8.7,6.9,3.5,0.1519,0.1519,0.1519,0.1519,0.1519,0.1519,0.1519
236,trofa,66707,16.9,17.2,18.0,17.7,16.5,15.8,15.9,0.1707,0.1707,0.1707,0.1707,0.1707,0.1707,0.1707,9.1,6.8,5.1,5.6,7.9,7.6,5.3,0.1707,0.1707,0.1707,0.1707,0.1707,0.1707,0.1707
237,abrantes,63459,16.7,17.0,17.7,16.8,15.8,14.9,14.9,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142,3.5,3.2,4.6,5.6,7.0,7.8,3.5,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142
238,alcanena,22579,17.4,17.5,18.1,17.8,16.8,16.3,16.2,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262,9.8,7.4,6.0,6.6,6.4,9.0,4.9,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262
239,almeirim,38076,17.2,17.4,18.0,17.4,16.6,15.9,15.7,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,4.3,2.6,2.6,6.7,8.0,7.1,3.4,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816,0.0816
240,alpiarca,12375,17.2,17.5,17.9,17.2,16.2,15.6,15.9,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885,4.2,3.5,2.8,7.0,8.7,7.0,2.9,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885
241,benavente,48240,12.2,12.0,12.1,11.9,11.1,10.2,11.0,0.0824,0.0824,0.0824,0.0824,0.0824,0.0824,0.0824,2.7,2.0,2.2,7.0,7.8,7.1,3.1,0.0824,0.0824,0.0824,0.0824,0.0824,0.0824,0.0824
242,cartaxo,40234,17.0,17.2,17.7,17.3,16.5,16.2,16.1,0.0938,0.0938,0.0938,0.0938,0.0938,0.0938,0.0938,2.7,3.0,3.9,6.9,6.1,7.0,3.4,0.0938,0.0938,0.0938,0.0938,0.0938,0.0938,0.0938
243,chamusca,16349,16.8,17.1,17.7,16.9,15.8,15.0,15.0,0.097,0.097,0.097,0.097,0.097,0.097,0.097,4.9,4.1,3.8,6.4,7.3,7.5,3.3,0.097,0.097,0.097,0.097,0.097,0.097,0.097
244,constancia,6624,16.1,16.4,17.0,16.6,15.3,14.9,15.0,0.1228,0.1228,0.1228,0.1228,0.1228,0.1228,0.1228,4.4,4.6,4.2,6.0,6.7,7.5,3.3,0.1228,0.1228,0.1228,0.1228,0.1228,0.1228,0.1228
245,coruche,31635,16.8,16.9,17.5,17.0,16.0,15.2,14.9,0.091,0.091,0.091,0.091,0.091,0.091,0.091,2.2,2.6,2.3,6.9,8.1,6.9,3.7,0.091,0.091,0.091,0.091,0.091,0.091,0.091
246,entroncamento,33503,16.4,17.1,17.8,17.1,16.2,15.4,15.3,0.1435,0.1435,0.1435,0.1435,0.1435,0.1435,0.1435,6.5,3.4,3.8,5.4,7.8,6.3,2.6,0.1435,0.1435,0.1435,0.1435,0.1435,0.1435,0.1435
247,ferreira-do-zezere,13646,16.5,16.8,17.4,16.6,15.4,14.5,14.5,0.1116,0.1116,0.1116,0.1116,0.1116,0.1116,0.1116,7.3,3.0,3.5,4.5,6.5,7.3,1.8,0.1116,0.1116,0.1116,0.1116,0.1116,0.1116,0.1116
248,golega,8816,17.0,17.5,18.6,17.7,16.5,15.9,15.8,0.074,0.074,0.074,0.074,0.074,0.074,0.074,6.9,4.1,4.1,7.1,8.4,7.2,3.1,0.074,0.074,0.074,0.074,0.074,0.074,0.074
249,macao,11129,15.9,16.0,16.7,16.4,15.4,14.8,14.9,0.1897,0.1897,0.1897,0.1897,0.1897,0.1897,0.1897,9.6,6.5,3.2,4.0,5.8,6.1,2.1,0.1897,0.1897,0.1897,0.1897,0.1897,0.1897,0.1897
250,rio-maior,34800,17.0,17.2,18.0,17.5,16.5,16.0,15.7,0.107,0.107,0.107,0.107,0.107,0.107,0.107,7.3,3.0,4.6,6.6,5.9,7.7,4.4,0.107,0.107,0.107,0.107,0.107,0.107,0.107
251,salvaterra-de-magos,36165,17.3,17.6,18.1,17.4,16.6,16.0,15.6,0.1012,0.1012,0.1012,0.1012,0.1012,0.1012,0.1012,3.3,1.8,2.3,6.9,8.0,7.9,3.6,0.1012,0.1012,0.1012,0.1012,0.1012,0.1012,0.1012
252,santarem,101347,16.5,16.8,17.6,16.9,15.8,15.3,15.3,0.1214,0.1214,0.1214,0.1214,0.1214,0.1214,0.1214,6.6,3.4,3.8,6.2,6.6,7.4,3.3,0.1214,0.1214,0.1214,0.1214,0.1214,0.1214,0.1214
253,sardoal,6324,16.8,16.9,17.5,17.0,15.9,15.3,15.2,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142,6.0,4.7,4.6,5.7,7.4,8.0,3.6,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142
254,tomar,65798,17.6,17.8,18.2,17.6,16.7,15.9,15.7,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,7.9,4.5,4.1,7.2,8.0,9.4,5.3,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258,0.1258
255,torres-novas,59613,16.7,16.8,17.6,17.3,16.5,16.0,15.9,0.1048,0.1048,0.1048,0.1048,0.1048,0.1048,0.1048,7.9,4.8,4.1,6.3,7.5,6.8,2.7,0.1048,0.1048,0.1048,0.1048,0.1048,0.1048,0.1048
256,vila-nova-da-barquinha,11820,16.9,17.3,17.8,17.1,16.2,15.6,15.4,0.104,0.104,0.104,0.104,0.104,0.104,0.104,4.6,3.3,2.4,6.1,7.6,7.3,4.0,0.104,0.104,0.104,0.104,0.104,0.104,0.104
257,ourem,75040,16.3,16.6,17.4,17.2,16.0,15.3,15.2,0.111,0.111,0.111,0.111,0.111,0.111,0.111,5.7,4.6,2.4,5.9,7.3,6.1,1.9,0.111,0.111,0.111,0.111,0.111,0.111,0.111
