,county,all pop,tindoor_07-02-2023,tindoor_08-02-2023,tindoor_09-02-2023,tindoor_10-02-2023,tindoor_11-02-2023,tindoor_12-02-2023,tindoor_13-02-2023,vulnerability_07-02-2023,vulnerability_08-02-2023,vulnerability_09-02-2023,vulnerability_10-02-2023,vulnerability_11-02-2023,vulnerability_12-02-2023,vulnerability_13-02-2023,toutdoor_07-02-2023,toutdoor_08-02-2023,toutdoor_09-02-2023,toutdoor_10-02-2023,toutdoor_11-02-2023,toutdoor_12-02-2023,toutdoor_13-02-2023,icaro_07-02-2023,icaro_08-02-2023,icaro_09-02-2023,icaro_10-02-2023,icaro_11-02-2023,icaro_12-02-2023,icaro_13-02-2023
298,cinfaes,33606,14.4,15.0,15.6,15.3,14.0,13.5,13.4,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,5.1,1.6,-0.0,0.8,5.4,1.1,-0.9,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154
299,lamego,44263,13.9,14.2,15.1,15.3,14.4,14.2,14.2,0.1149,0.1149,0.1149,0.1149,0.1149,0.1149,0.1149,1.4,-0.0,-0.8,2.1,0.8,0.1,-0.6,0.1149,0.1149,0.1149,0.1149,0.1149,0.1149,0.1149
300,mangualde,32355,15.8,16.3,16.7,16.2,14.8,14.2,14.2,0.2111,0.2111,0.2111,0.2111,0.2111,0.2111,0.2111,5.0,2.5,2.2,2.9,5.5,4.3,2.5,0.2111,0.2111,0.2111,0.2111,0.2111,0.2111,0.2111
301,moimenta-da-beira,16549,13.7,14.0,14.8,14.7,13.7,13.4,13.1,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.8,-0.9,-2.3,1.2,0.4,-1.3,-2.0,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968
302,mortagua,15527,17.3,17.3,18.3,18.1,17.4,16.8,16.6,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854,9.4,7.5,5.4,5.2,6.8,8.2,3.7,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854,0.0854
303,nelas,22709,16.6,16.9,17.1,16.3,15.3,14.6,14.6,0.1462,0.1462,0.1462,0.1462,0.1462,0.1462,0.1462,5.9,4.0,2.5,4.7,5.5,5.3,3.8,0.1462,0.1462,0.1462,0.1462,0.1462,0.1462,0.1462
304,oliveira-de-frades,16815,15.3,15.8,16.3,16.0,15.0,14.6,14.6,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986,4.5,4.1,1.8,2.5,4.1,3.6,0.6,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986
305,penalva-do-castelo,12632,15.0,15.2,16.2,15.7,14.6,14.0,14.1,0.1519,0.1519,0.1519,0.1519,0.1519,0.1519,0.1519,4.1,2.1,0.4,3.4,3.9,2.2,-0.4,0.1519,0.1519,0.1519,0.1519,0.1519,0.1519,0.1519
306,penedono,4697,13.3,13.7,14.5,14.4,13.0,12.9,13.0,0.2423,0.2423,0.2423,0.2423,0.2423,0.2423,0.2423,0.9,-0.1,-2.1,0.8,-1.4,-1.3,-2.0,0.2423,0.2423,0.2423,0.2423,0.2423,0.2423,0.2423
307,resende,18586,13.6,14.1,14.6,14.5,13.3,12.7,12.8,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,2.3,0.1,-1.7,0.4,1.3,-0.7,-1.5,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862
308,santa-comba-dao,18708,16.1,16.4,17.2,16.3,15.7,14.7,14.8,0.0949,0.0949,0.0949,0.0949,0.0949,0.0949,0.0949,7.0,4.3,1.9,3.2,3.6,5.4,0.8,0.0949,0.0949,0.0949,0.0949,0.0949,0.0949,0.0949
309,sao-joao-da-pesqueira,12872,14.5,14.8,15.8,15.5,14.2,14.4,14.5,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,3.4,0.5,0.2,4.2,2.4,1.5,0.7,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005
310,sao-pedro-do-sul,27109,14.6,14.8,15.5,15.8,14.7,14.4,14.4,0.1549,0.1549,0.1549,0.1549,0.1549,0.1549,0.1549,3.0,0.8,0.1,2.1,0.8,1.0,-0.7,0.1549,0.1549,0.1549,0.1549,0.1549,0.1549,0.1549
311,satao,20097,15.5,15.7,16.3,16.0,14.7,14.2,14.4,0.1266,0.1266,0.1266,0.1266,0.1266,0.1266,0.1266,4.4,2.0,1.0,2.8,3.2,2.8,0.5,0.1266,0.1266,0.1266,0.1266,0.1266,0.1266,0.1266
312,sernancelhe,9102,14.0,14.5,15.4,15.1,14.0,13.8,13.6,0.2221,0.2221,0.2221,0.2221,0.2221,0.2221,0.2221,0.6,-0.3,-1.0,2.3,3.6,0.7,-0.6,0.2221,0.2221,0.2221,0.2221,0.2221,0.2221,0.2221
313,tabuaco,10392,13.7,14.0,14.9,14.8,13.3,13.4,13.4,0.1371,0.1371,0.1371,0.1371,0.1371,0.1371,0.1371,1.5,0.1,-1.6,1.5,0.9,-0.7,-0.9,0.1371,0.1371,0.1371,0.1371,0.1371,0.1371,0.1371
314,tarouca,13262,14.0,14.3,15.3,15.2,14.1,13.8,13.8,0.1437,0.1437,0.1437,0.1437,0.1437,0.1437,0.1437,1.3,0.2,-1.5,2.6,2.6,-0.2,-1.2,0.1437,0.1437,0.1437,0.1437,0.1437,0.1437,0.1437
315,tondela,46573,16.5,16.7,17.3,16.5,15.4,14.6,14.9,0.1096,0.1096,0.1096,0.1096,0.1096,0.1096,0.1096,8.2,5.6,4.2,4.6,5.6,6.8,2.5,0.1096,0.1096,0.1096,0.1096,0.1096,0.1096,0.1096
316,vila-nova-de-paiva,8282,14.5,14.7,15.4,15.0,13.8,13.3,13.4,0.2981,0.2981,0.2981,0.2981,0.2981,0.2981,0.2981,3.2,1.4,-0.5,1.4,1.9,0.8,0.1,0.2981,0.2981,0.2981,0.2981,0.2981,0.2981,0.2981
317,viseu,164901,16.0,16.3,17.0,16.8,15.5,15.1,15.0,0.1235,0.1235,0.1235,0.1235,0.1235,0.1235,0.1235,6.3,4.2,2.1,3.3,4.5,4.4,2.5,0.1235,0.1235,0.1235,0.1235,0.1235,0.1235,0.1235
318,vouzela,16954,15.4,15.6,16.2,15.7,14.5,13.9,13.8,0.111,0.111,0.111,0.111,0.111,0.111,0.111,6.8,4.5,0.9,2.3,3.3,3.6,3.3,0.111,0.111,0.111,0.111,0.111,0.111,0.111
